"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28%28Design%2C+Automation+and+Test+in+Europe+Conference+and+Exhibition%29+AND+2002%29",2015/06/23 14:53:21
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Generalized early evaluation in self-timed circuits","Thornton, M.A.; Fazel, K.; Reese, R.B.; Traver, C.","Dept. of Electr. & Comput. Eng., Mississippi State Univ., MS, USA","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","255","259","Phased logic has been proposed as a technique for realizing self-timed circuitry that is delay-insensitive and requires no global clock signals. Early evaluation techniques have been applied to asynchronous circuits in the past in order to achieve throughput increases. A general method for computing early evaluation functions is presented for this design style. Experimental results are given that show the increase in throughput of various benchmark circuits. The results show that as much as a 30% speedup can be achieved in some cases","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998281","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998281","","Circuit synthesis;Clocks;Cost accounting;Delay;Feedback loop;Field programmable gate arrays;Logic circuits;Logic design;Output feedback;Throughput","asynchronous circuits;delay estimation;logic design","asynchronous circuits;circuit delay reduction;delay insensitivity;early evaluation functions;generalized early evaluation;local transformations;phased logic;self-timed circuitry;synthesis optimization","","4","5","24","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Maximizing conditional reuse by pre-synthesis transformations","Penalba, O.; Mendias, J.M.; Hermida, R.","Dept. Arquitectura de Computadores y Automatica, Univ. Complutense de Madrid, Spain","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1097","","The property called mutual exclusiveness, responsible for the degree of conditional reuse achievable after a high-level synthesis (HLS) process, is intrinsic to the systems behavior. However, sometimes it is only partially reflected in the actual description written by a designer. Our algorithm performs a transformation of the input description that exploits the maximum conditional reuse of the behavior, independently of description style, allowing the HLS tools to obtain circuits with less area","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998453","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998453","","Algorithm design and analysis;Automatic testing;Circuits;Data analysis;Design automation;Europe;High level synthesis;Performance analysis;Processor scheduling","circuit CAD;high level synthesis;integrated circuit design;software tools","HLS tools;circuit area;design description;design description style;high-level synthesis process;input description transformation algorithm;maximum conditional reuse;mutual exclusiveness;pre-synthesis transformations;system behavior","","0","","2","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Library compatible C<sub>eff</sub> for gate-level timing","Sheehan, B.N.","Mentor Graphics Corp., Wilsonville, OR, USA","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","826","830","Accurate gate-level static timing analysis in the presence of RC loads has become an important problem for modern deep-submicron designs. Non-capacitive loads are usually analyzed using the concept of an effective capacitance, C<sub>eff</sub>. Most published algorithms for C <sub>eff</sub>, however, require special cell characterization or supplemental information that is not part of standard timing libraries. In this paper we present a novel C<sub>eff</sub> algorithm that is strictly compatible with existing timing libraries. It is also fast, easily implemented, and quite accurate-within 3% of transistor-level simulation in our tests. The method is based on approximating a gate by a current source, estimating the delay difference when the gate drives the actual RC load and a reference capacitor, and then converting the delay discrepancy into a C<sub>eff</sub> value. Central to carrying out this program is the innovative concept of delay correction transfer function","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998394","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998394","","Capacitance;Delay effects;Delay estimation;Drives;Graphics;Iterative algorithms;Libraries;Standards publication;Testing;Timing","VLSI;capacitance;cellular arrays;delays;integrated circuit interconnections;logic CAD;software libraries;timing;transfer functions","RC loads;cell characterization;current source;deep-submicron designs;delay correction transfer function;delay difference;delay discrepancy;effective capacitance;gate-level timing;noncapacitive loads;reference capacitor;static timing analysis;transistor-level simulation","","1","1","13","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"MEDEA+ and ITRS roadmaps","Borel, J.; Matheron, G.; Jerraya, A.; Resve, S.; Rogers, M.; Rosenstiel, W.; Rugen-Herzig, I.; Theewen, F.","STMicroelectronics","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","328","328","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/00998293.png"" border=""0"">","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998293","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998293","","Acceleration;Application software;Automatic testing;Design automation;Electronic design automation and methodology;Europe;Hardware;Process design;Technology forecasting;USA Councils","","","","0","","","","","2002","","IEEE","IEEE Conference Publications"
"Power-manageable scheduling technique for control dominated high-level synthesis","Chunhong Chen; Sarrafzadeh, M.","Dept. of Electr. & Comput. Eng, Windsor Univ., Ont., Canada","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1016","1020","Optimizing power consumption at high-level is a critical step towards power-efficient digital system designs. This paper addresses the power management problem by scheduling a given control-dominated data flow graph. We discuss delay and power issues with scheduling, and propose an improvement algorithm for insertion of so-called soft edges which enable power optimization under timing constraints. Power savings obtained by our approach on tested circuits range between 15 % and 30 % of the initial power dissipation","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998424","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998424","","Circuit testing;Constraint optimization;Delay;Design optimization;Digital systems;Energy consumption;Energy management;Flow graphs;Power system management;Scheduling algorithm","data flow graphs;digital integrated circuits;high level synthesis;optimisation;power supply circuits;scheduling;timing","control-dominated data flow graph;high-level synthesis;power consumption optimization;power dissipation;power management;power savings;power scheduling;power-efficient digital system design;scheduled delays;soft edge insertion;timing constraints","","5","","5","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Using problem symmetry in search based satisfiability algorithms","Goldberg, E.I.; Prasad, M.R.; Brayton, R.K.","Cadence Berkeley Labs., CA, USA","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","134","141","We introduce the notion of problem symmetry in search-based SAT algorithms. We develop a theory of essential points to formally characterize the potential search-space pruning that can be realized by exploiting problem symmetry. We unify several search-pruning techniques used in modern SAT solvers under a single framework, by showing them to be special cases of the general theory of essential points. We also propose a new pruning rule exploiting problem symmetry. Preliminary experimental results validate the efficacy of this rule in providing additional search-space pruning beyond the pruning realized by techniques implemented in leading-edge SAT solvers","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998261","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998261","","Approximation algorithms;Automatic test pattern generation;Automatic testing;Boolean functions;Design automation;Design optimization;Electronic design automation and methodology;Formal verification;Laboratories;Space exploration","Boolean algebra;backtracking;computability;tree searching","Boolean satisfiability problem;backtracking tree;essential points;nonchronological backtracking;potential search-space pruning;problem symmetry;pruning rule;search based satisfiability algorithms;search-based SAT algorithms;supercubing-based pruning","","4","1","12","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Taylor expansion diagrams: a compact, canonical representation with applications to symbolic verification","Ciesielski, M.J.; Kalla, P.; Zhihong Zheng; Rouzeyre, B.","Dept. of Electr. & Comput. Eng., Massachusetts Univ., Amherst, MA, USA","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","285","289","This paper presents a new, compact, canonical graph-based representation, called Taylor expansion diagrams (TEDs). It is based on a general non-binary decomposition principle using Taylor series expansion. It can be exploited to facilitate the verification of high-level (RTL) design descriptions. We present the theory behind TEDs, comment upon its canonicity property and demonstrate that the representation has linear space complexity. Its application to equivalence checking of high-level design descriptions is discussed","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998286","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998286","","Application software;Automatic control;Boolean functions;Control systems;Digital arithmetic;Formal verification;Logic design;Robots;Robustness;Taylor series","circuit CAD;circuit complexity;graph theory;high level synthesis;series (mathematics)","TEDs;Taylor expansion diagrams;Taylor series expansion;canonicity property;compact canonical representation;design verification;digital designs;equivalence checking;general nonbinary decomposition principle;high-level RTL design verification;high-level design descriptions;linear space complexity;symbolic verification","","21","1","18","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"A fitting approach to generate symbolic expressions for linear and nonlinear analog circuit performance characteristics","Daems, W.; Gielen, G.; Sansen, Willy","Dept. of Electr. Eng., Katholieke Univ., Leuven, Belgium","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","268","273","This paper presents a novel method to automatically generate symbolic expressions for both linear and nonlinear circuit characteristics using a template-based fitting of numerical, simulated data. The aim of the method is to generate convex, interpretable expressions. The posynomiality of the generated expressions enables the use of efficient geometric programming techniques when using these expressions for circuit sizing and optimization. Attention is paid to estimating the relative 'goodness-of-fit' of the generated expressions. Experimental results illustrate the capabilities of the approach","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998283","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998283","","AC generators;Analog circuits;Analog integrated circuits;Character generation;Circuit simulation;Design automation;Electronic design automation and methodology;Knowledge acquisition;Nonlinear circuits;Transfer functions","analogue integrated circuits;circuit analysis computing;design of experiments;geometric programming;linear network analysis;nonlinear network analysis;numerical analysis;symbol manipulation","automatic symbolic expressions generation;circuit optimization;circuit sizing;convex interpretable expressions;design of experiments;geometric programming techniques;linear analog ICs;nonlinear analog ICs;numerical simulated data;posynomial performance parameter expressions;template-based fitting;transistor-level analog integrated circuits","","10","","32","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Transforming arbitrary structures into topologically equivalent slicing structures","Peyran, O.; Wenjun Zhuang","Inst. of High Performance Comput., Singapore, Singapore","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1099","","Floorplanning is an important step of IC design. Traditionally, floorplan representation has been segregated between slicing and non-slicing structures. We present a heuristic that translates any arbitrary structure into a slicing one, topologically equivalent to the initial one after a 1-D compaction","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998455","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998455","","Automatic testing;Circuit optimization;Compaction;Design automation;Europe;Extremities;High performance computing","VLSI;circuit layout CAD;circuit optimisation;equivalent circuits;integrated circuit layout;network topology","1D compaction;IC design;arbitrary structures;circuit optimisation;floorplan representation;floorplanning;heuristic;topologically equivalent slicing structures;very deep sub micron technologies","","1","","2","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"On-chip inductance models: 3D or not 3D?","Tao Lin; Beattie, M.W.; Pileggi, L.T.","Dept. of Electr. & Comput. Eng., Carnegie Mellon Univ., Pittsburgh, PA, USA","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1112","","Full 3D lumped partial inductance models usually contain a tremendous amount of forward coupling terms. To reduce the complexity of simulation and analysis, a simplified model that excludes the forward coupling terms is often adopted in practice. This paper addresses the question whether ignoring forward couplings is always an acceptable choice or if full 3D models are necessary in certain cases. We show that the significance of the forward coupling inductance depends on various aspects of the design","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998500","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998500","","Analytical models;Automatic testing;Capacitance;Clocks;Computational modeling;Conductors;Design automation;Inductance;Performance analysis;Wires","circuit simulation;error analysis;inductance;integrated circuit interconnections;integrated circuit modelling","3D models;dipole effect;forward coupling;lumped partial inductance models;on-chip interconnects;parallel coplanar structure;return paths","","0","","4","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Statistical timing driven partitioning for VLSI circuits","Ababei, C.; Bazargan, K.","Dept. of Electr. & Comput. Eng., Minnesota Univ., Minneapolis, MN, USA","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1109","","Presents statistical-timing driven partitioning for performance optimization. We show that by using the concept of node criticality we can enhance the Fiduccia-Mattheyses (FM) partitioning algorithm to achieve, on average, around 20% improvements in terms of timing, among partitions with the same cut size. By incorporating mechanisms for timing optimization at the partitioning level, we facilitate wire-planning at high levels of the design process","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998465","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998465","","Algorithm design and analysis;Circuits;Delay estimation;Design optimization;Partitioning algorithms;Process design;Process planning;Timing;Very large scale integration;Wire","VLSI;circuit layout CAD;circuit optimisation;high level synthesis;logic partitioning;network topology;statistical analysis;timing;wiring","Fiduccia-Mattheyses partitioning algorithm;VLSI circuits;cut size;high levels;node criticality;partitioning level;performance optimization;statistical timing driven partitioning;timing;wire-planning","","3","","2","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"A burst-mode oriented back-end for the Balsa synthesis system","Chelcea, T.; Bardsley, A.; Edwards, D.; Nowick, S.M.","Dept. of Comput. Sci., Columbia Univ., New York, NY, USA","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","330","337","This paper introduces several new component clustering techniques for the optimization of asynchronous systems. In particular, novel ""burst-mode aware"" restriction.; are imposed to limit the cluster sizes and to ensure synthesizability. A new control specification language, CH, is also introduced which facilitates the manipulation and optimization of handshake control components. The new method has been fully integrated into a comprehensive asynchronous synthesis package, Balsa. Experimental results on several substantial design examples, including a 32-bit microprocessor core, indicate significant performance improvements for the optimized circuits","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998294","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998294","","Circuit synthesis;Communication system control;Computer science;Control system synthesis;Control systems;Design optimization;Integrated circuit synthesis;Microprocessors;Packaging;Specification languages","asynchronous circuits;circuit CAD;circuit optimisation;logic CAD;microprocessor chips;specification languages","32 bit;Balsa synthesis system;CH;asynchronous systems;burst-mode oriented back-end;cluster sizes;component clustering techniques;control specification language;handshake control components;microprocessor core;optimized circuits;synthesizability","","15","1","18","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"EDA tools for RF: myth or reality?","Guarnieri, L.; Chen, E.; Ajluni, C.; Savage, S.; Xisheng Zhang","Barcelona Design, Inc.","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","292","293","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/00998287.png"" border=""0"">","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998287","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998287","","CMOS technology;Circuit simulation;Costs;Design automation;Electronic design automation and methodology;Packaging;Radio frequency;Radiofrequency integrated circuits;Semiconductor device modeling;Substrates","","","","0","","","","","2002","","IEEE","IEEE Conference Publications"
"Concurrent and selective logic extraction with timing consideration","Rezvani, P.; Pedram, M.","Univ. of Southern California, Los Angeles, CA, USA","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1086","","We study the problem of concurrent and selective logic extraction in a Boolean circuit. We first model the problem using graph theory, prove it to be NP-hard, and subsequently formulate it as a Maximum-Weight Independent Set problem in a graph. We then use efficient heuristics for solving the MWIS problem. Concurrent logic extraction not only allows us to achieve larger literal saving and smaller area due to a more global view of the extraction space, but also provides us with a framework for reducing the circuit delay","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998443","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998443","","Automatic testing;Costs;Delay;Design automation;Europe;Logic design;Logic testing;Timing","circuit complexity;graph theory;logic design;set theory;timing","Boolean circuit;NP-hard problem;circuit delay;concurrent logic extraction;efficient heuristics;graph theory;maximum-weight independent set problem;selective logic extraction;timing","","0","","1","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"BerkMin: A fast and robust SAT-solver","Goldberg, E.; Novikov, Y.","Cadence Berkeley Labs. (USA), CA, USA","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","142","149","We describe a SAT-solver, BerkMin, that inherits such features of GRASP, SATO, and Chaff as clause recording, fast BCP, restarts, and conflict clause ""aging"". At the same time BerkMin introduces a new decision making procedure and a new method of clause database management. We experimentally compare BerkMin with Chaff, the leader among SAT-solvers used in the EDA domain. Experiments show that our solver is more robust than Chaff. BerkMin solved all the instances we used in experiments including very large CNFs from a microprocessor verification benchmark suite. On the other hand, Chaff was not able to complete some instances even with the timeout limit of 16 hours","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998262","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998262","","Automatic test pattern generation;Business continuity;Cities and towns;Databases;Decision making;Electronic design automation and methodology;Identity-based encryption;Logic;Microprocessors;Robustness","backtracking;computability;distributed databases;distributed decision making;logic CAD;tree searching","BerkMin;EDA domain;clause database management;clause recording;conflict analysis;conflict clause aging;conjunctive normal form;decision making procedure;fast BCP;fast robust SAT solver;logic synthesis;microprocessor verification benchmark;nonchronological backtracking;restarts;satisfiability problem;very large CNFs","","111","13","21","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Improved technology mapping for PAL-based devices using a new approach to multi-output boolean functions","Kania, D.","Inst. of Electron., Silesian Univ. of Technol., Poland","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1087","","An effective technology mapping for PAL-based devices is presented in this paper. The aim of this method is to cover a multiple-output function by a minimal number of PAL-based logic blocks. The product terms included in a logic block can be shared by several functions. Experimental results are compared to the classical technology mapping method","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998444","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998444","","Automatic testing;Boolean functions;Design automation;Europe;IEEE Computer Society Press;Joining processes;Kernel;Logic devices","Boolean functions;directed graphs;logic design;minimisation of switching nets;programmable logic arrays","CPLDs;PAL-based devices;directed graph;minimal number;minimised functions;multi-output Boolean functions;technology mapping","","0","","1","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"An adaptive dictionary encoding scheme for SOC data buses","Tiehan Lv; Henkel, J.; Lekatsas, H.; Wolf, W.","Princeton Univ., NJ, USA","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1059","1064","As bus lengths on multi-hundred-million transistor SOCs (systems-on-a-chip) grow and as inter-wire capacitances of sub-0.1 μm technologies increase, the resulting high switching capacitances of buses (and interconnects in general) have a non-negligible impact on the power consumption of a whole SOC. In this paper, we address this problem by introducing our bus encoding technique 'ADES' that minimizes the power consumption of data buses through a dictionary-based encoding technique. We show that our technique saves between 18% and 40% of bus energy compared to the non-encoded cases using a large set of (freely-accessible) real-world applications. Furthermore, we compare our technique to the best-known data bus encoding techniques to date and show that it exceeds all of them in energy savings for the same set of applications. The additional hardware effort for our bus en/decoder is thereby very small","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998433","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998433","","Automatic testing;Data buses;Design automation;Dictionaries;Encoding;Europe","adaptive codes;capacitance;encoding;integrated circuit design;integrated circuit interconnections","0.1 micron;ADES bus encoding technique;SoC data buses;adaptive dictionary encoding scheme;bus energy;bus lengths;bus switching capacitances;data bus encoding techniques;data buses;dictionary-based encoding technique;energy savings;inter-wire capacitances;interconnects;multi-hundred-million transistor system-on-a-chip;power consumption","","8","","15","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Minimum energy fixed-priority scheduling for variable voltage processors","Gang Quan; Hu, X.S.","Dept. of Comput. Sci. & Eng., Notre Dame Univ., IN, USA","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","782","787","To fully exploit the benefit of variable voltage processors, voltage schedules must be designed in the context of work load requirement. In this paper, we present an approach to finding the least-energy voltage schedule for executing real-time jobs on such a processor according to a fixed priority, preemptive policy. The significance of our approach is that the theoretical limit in terms of energy saving for such systems is established, which can thus serve as the standard to evaluate the performance of various heuristic approaches. Two algorithms for deriving the optimal voltage schedule are provided. The first one explores fundamental properties of voltage schedules while the second one builds on the first one to further reduce the computational cost. Experimental results are shown to compare the results of this paper with previous ones","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998388","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998388","","Energy consumption;Energy management;Power system management;Processor scheduling;Real time systems;Scheduling algorithm;Stochastic processes;Testing;Timing;Voltage","circuit CAD;integrated circuit design;low-power electronics;microprocessor chips;processor scheduling;real-time systems","fixed priority preemptive policy;minimum energy fixed-priority scheduling;variable voltage processors;voltage schedules","","20","","19","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"An energy estimation method for asynchronous circuits with application to an asynchronous microprocessor","Penzes, P.L.; Martin, A.J.","Dept. of Comput. Sci., California Inst. of Technol., Pasadena, CA, USA","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","640","647","This paper presents a simulator operating on a logical representation of an asynchronous circuit that gives energy estimates within 10% of electrical (hspice) simulation. Our simulator is the first such tool in the literature specifically targeted to efficient energy estimation of QDI asynchronous circuits. As an application, we show how the simulator has been used to accurately estimate the energy consumption in different parts of an asynchronous MIPS R3000 microprocessor. This is the first energy breakdown of an asynchronous microprocessor in the literature","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.999207","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=999207","","Asynchronous circuits;Automatic testing;Design automation;Europe","CMOS digital integrated circuits;asynchronous circuits;circuit simulation;integrated circuit design;logic simulation;low-power electronics;microprocessor chips","CMOS circuits;MIPS R3000 microprocessor;QDI asynchronous circuits;asynchronous circuits;asynchronous microprocessor;energy breakdown;energy consumption;energy estimation method;logical representation simulator;quasi-delay-insensitive circuits","","0","","9","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Maximizing impossibilities for untestable fault identification","Hsiao, M.S.","Bradley Dept. of Electr. & Comput. Eng., Virginia Polytech. Inst. & State Univ., Blacksburg, VA, USA","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","949","953","This paper presents a new fault-independent method for maximizing local conflicting value assignments for the purpose of untestable faults identification. The technique first computes a large number of logic implications across multiple time-frames and stores them in an implication graph. Then, by maximizing conflicting scenarios in the circuit, the algorithm identifies a large number of untestable faults that require such impossibilities. The proposed approach identifies impossible combinations locally around each Boolean gate in the circuit, and its complexity is thus linear in the number of nodes, resulting in short execution times. Experimental results for both combinational and sequential benchmark circuits showed that many more untestable faults can be identified with this approach efficiently","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998414","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998414","","Automatic testing;Design automation;Europe","Boolean functions;automatic test pattern generation;combinational circuits;fault diagnosis;logic gates;logic testing;sequential circuits","ATPGs;Boolean gate;combinational benchmark circuits;conflicting scenarios;execution times;fault-independent method;impossible combinations;local conflicting value assignments;logic implications;multiple time-frames;sequential benchmark circuits;untestable fault identification","","6","","8","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"A new formulation for SOC floorplan area minimization problem","Chih-Hung Lee; Yu-Chung Lin; Wen-Yu-Fu; Chun-Chiao Chang; Tsai-Ming Hsieh","Dept. of Electron. Eng., Chung Yuan Christian Univ., Chung-li, Taiwan","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1100","","Presented a new formulation by introducing the concept of block partition such that the shape of modules can be automatically determined based on the goal of optimization. Experimental results from MCNC benchmarks indicate that the zero dead space solutions can be obtained for most test cases under our formulation","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998456","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998456","","Automatic testing;Design automation;Europe","VLSI;application specific integrated circuits;circuit layout CAD;integrated circuit layout;logic CAD;logic partitioning;minimisation of switching nets;modules;wiring","MCNC benchmarks;SOC;VLSI;block partition;critical nets;floorplan area minimization;inter-module wire length;modules;nonlinear programming;optimization;zero dead space solutions","","1","","1","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"A direct mapping system for datapath module and FSM implementation into LUT-based FPGAs","Abke, J.; Barke, E.","Inst. of Microelectron. Circuits & Syst., Hannover Univ., Germany","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1085","","Today's high capacity Field-programmable Gate Arrays (FPGAs) and the upcoming trend to System-On-Programmable-Chip (SOPC) require novel implementation strategies. These have to overcome long implementation times of traditional synthesis approaches. Here, a unique approach for technology mapping of both datapath modules and controller descriptions into Look-Up Table (LUT)-based FPGAs is presented The proposed method starts at Register-Transfer-Level (RTL) and follows the Library of Parameterized Modules (LPM) standard. The mapping environment includes an implicit state minimization algorithm for FSMs","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998441","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998441","","Argon;Circuits and systems;Design automation;Field programmable gate arrays;Flip-flops;Logic;Microelectronics;Minimization;Spatial databases;Table lookup","field programmable gate arrays;finite state machines;logic design;minimisation of switching nets;table lookup","FSM implementation;LUT-based FPGAs;controller descriptions;datapath module implementation;direct mapping system;implicit state minimization algorithm;library of parameterized modules standard;look-up table-based FPGAs;mapping environment;register-transfer-level;state transition graph;technology mapping","","0","","2","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Composition trees in finding best variable orderings for ROBDDs","Dubrova, E.","Dept. of Microelectron. & Inf. Technol., R. Inst. of Technol., Stockholm, Sweden","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1084","","Summary form only given. The algorithms for static reordering of Reduced Ordered Binary Decision Diagrams (ROBDDs) rely on dependable properties for grouping of variables. Two such properties have been studied so far: keeping symmetric variables adjacent and minimizing the ROBDD width. However, counterexamples have been found for the both cases. In this paper, we introduce a new condition for grouping of variables, suggesting to keep adjacent the variables from all bound sets of the function which are explicitly given by its composition tree","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998440","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998440","","Automatic testing;Boolean functions;Data structures;Design automation;Europe;Heuristic algorithms;Information technology;Logic;Microelectronics;Ultra large scale integration","binary decision diagrams;reduced order systems;trees (mathematics)","ROBDDs;best variable orderings;bound set;bound-set-preserving ordering;composition tree;composition trees;reduced ordered binary decision diagrams;static reordering algorithms","","0","","6","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
